"","CBJMJ00700","CBJMJ01400","CBJMJ02800","CBJMJ04200","CBJMJ04201","CBJMJ04202","CBJMJ04203","CHCFJ00700","CHCFJ01400","CHCFJ02800","CHCFJ04200","CHCFJ05601","CHCFJ05602","CHCFJ05603","DGYFJ06201","DGYFJ06202","DGYFJ06203","DGYMJ06201","DGYMJ06202","DGYMJ06203","DHCFJ07801","DHCFJ07802","DHCFJ07803","DHCMJ07801","DHCMJ07802","DHCMJ07803","DHKFJ23501","DHKFJ23502","DHKFJ23503","DSLFJ04101","DSLFJ04102","DSLFJ04103","DSLMJ04101","DSLMJ04102","DSLMJ04103","DSTFJ04001","DSTFJ04002","DSTFJ04003","DSTMJ04001","DSTMJ04002","DSTMJ04003","HBJMJ00700","HBJMJ01400","HBJMJ02800","HBJMJ04200","HBJMJ04201","HBJMJ04202","HBJMJ04203","HHCFJ00700","HHCFJ01400","HHCFJ02800","HHCFJ04200","HHCFJ05601","HHCFJ05602","HHCFJ05603","LBJMJ00700","LBJMJ01400","LBJMJ02800","LBJMJ04200","LBJMJ04201","LBJMJ04202","LBJMJ04203","LHCFJ00700","LHCFJ01400","LHCFJ02800","LHCFJ04200","LHCFJ05601","LHCFJ05602","LHCFJ05603","MBJMJ00700","MBJMJ01400","MBJMJ02800","MBJMJ04200","MBJMJ04201","MBJMJ04202","MBJMJ04203","MHCFJ00700","MHCFJ01400","MHCFJ02800","MHCFJ04200","MHCFJ05601","MHCFJ05602","MHCFJ05603","NBJMJ00100","NBJMJ00700","NBJMJ01400","NBJMJ02800","NBJMJ04200","NBJMJ04201","NBJMJ04202","NBJMJ04203","NHCFJ00100","NHCFJ00700","NHCFJ01400","NHCFJ02800","NHCFJ04200","NHCFJ05601","NHCFJ05602","NHCFJ05603"
"Morganella",0,0,0,0,0,0,0,2.924413e-07,4.809139e-06,0,0,0,1.148327e-07,1.857716e-07,2.85126e-07,6.219896e-08,7.821143e-07,8.904907e-07,4.394281e-07,5.779393e-07,1.187099e-06,1.179595e-07,1.469562e-06,1.64422e-06,1.692662e-06,8.248256e-07,0,3.864991e-08,1.346433e-07,0,0,0,2.007378e-07,0,0,1.555213e-07,0,0,0,0,1.562753e-07,0,1.120471e-07,3.460306e-07,0,0,1.871346e-07,0,1.074583e-07,1.455745e-06,3.511602e-08,0,0,2.564296e-07,1.769244e-07,6.898304e-07,0,3.741251e-07,0,1.361589e-07,0,5.700752e-08,1.262437e-06,8.634758e-07,0,0,0,0,0,8.954873e-07,0,0,1.399539e-06,5.29353e-06,8.98214e-08,0,1.389903e-07,1.458828e-06,7.092192e-08,0,4.812043e-08,3.012768e-08,1.211254e-07,0,0,0,0,4.718151e-08,2.755123e-06,5.91653e-08,3.85851e-07,5.816955e-06,8.258296e-07,4.725832e-07,5.723965e-08,2.317789e-06,0,6.914847e-08,0
"Mucinivorans",0,4.317748e-07,2.739492e-07,0,0,0,0,1.862475e-07,3.946547e-05,2.47255e-06,1.141432e-06,4.935703e-08,9.445738e-07,3.773557e-07,0,3.840711e-07,7.304414e-07,5.086136e-08,1.027016e-07,3.384764e-07,0,7.442634e-08,0,0,0,0,0,0,3.887067e-07,9.18471e-08,1.518343e-07,0,5.667724e-06,0,1.225016e-07,0,0,2.009394e-06,2.723244e-08,0,8.389272e-08,0,1.630433e-05,0,0,0,0,0,2.914496e-07,1.824478e-05,3.129118e-06,0,0,2.336124e-07,1.475329e-06,2.321089e-06,1.598453e-07,0,0,0,0,0,2.151079e-07,2.189384e-05,2.464706e-06,8.382283e-07,2.423924e-07,5.362156e-07,2.324126e-07,1.802681e-06,6.556872e-07,0,0,0,5.349802e-08,0,2.425128e-07,2.577507e-05,7.24277e-07,6.600104e-06,5.230481e-08,2.294721e-06,1.430619e-06,0,0,2.052733e-06,0,0,1.471604e-06,5.037313e-07,0,2.239273e-07,0,2.989695e-06,6.892932e-07,0,0,4.896227e-08,8.76326e-08
"Mucispirillum",7.900088e-07,0,3.258893e-07,0,0,0,0,1.20791e-07,6.595971e-07,0,0,2.443194e-07,3.178334e-06,2.943528e-05,0,2.786965e-07,1.003357e-06,0,3.918876e-08,1.097509e-06,2.03792e-06,3.981669e-05,0,2.970816e-07,0,0,4.569226e-08,1.010871e-06,4.131755e-05,5.206825e-08,9.228919e-08,7.568049e-08,3.196984e-07,9.315115e-08,1.712963e-07,1.3404e-07,0,1.289708e-07,2.998699e-07,0,1.763899e-08,4.034074e-06,5.068483e-07,1.360308e-07,0,0,3.157423e-07,0,1.04686e-07,0,6.143018e-07,5.131636e-08,1.105573e-07,2.961924e-06,4.144676e-06,3.691198e-07,1.664059e-07,1.122341e-07,0,1.724656e-07,0,7.219177e-08,0,1.359921e-07,4.078786e-07,0,2.661647e-06,9.488594e-06,3.077485e-07,0,2.81064e-06,0,5.598713e-08,0,5.68729e-08,0,4.385385e-07,7.302704e-07,1.06805e-07,9.495796e-08,1.85711e-06,2.241327e-06,1.055624e-05,0,0,3.242111e-06,1.172206e-07,5.607978e-08,2.608091e-07,8.927516e-08,0,0,2.785519e-07,1.752458e-07,0,0,2.971411e-08,3.255282e-07,7.144161e-07
"Mumia",4.740053e-07,0,3.363188e-07,2.657573e-06,1.787916e-07,0,0,4.697612e-07,1.8596e-05,3.325178e-07,1.505096e-07,0,8.192782e-08,4.809141e-08,2.291333e-07,2.606868e-08,1.082161e-06,8.230293e-08,0,0,8.228755e-08,5.050764e-07,4.515127e-06,3.374573e-07,1.819971e-07,2.8908e-07,1.477579e-07,5.113062e-08,7.884568e-07,0,0,0,1.544654e-06,0,6.991873e-08,0,0,0,0,7.25256e-07,3.658209e-07,0,0,0,0,0,0,1.563758e-07,4.722508e-06,4.407954e-07,4.75822e-08,0,1.565286e-07,0,0,1.384736e-06,1.489884e-07,2.442279e-07,3.952221e-07,5.028684e-07,1.054619e-07,0,1.672988e-06,9.990898e-06,0,0,0,0,4.449489e-08,2.999431e-06,0,0,4.473578e-07,0,0,0,5.967947e-08,4.739707e-06,0,2.630158e-07,0,0,0,0,0,0,3.982288e-07,2.965346e-06,0,1.726741e-06,2.986602e-07,0,5.198973e-07,1.111923e-05,2.016953e-05,0,1.217979e-07,3.236526e-07,0
"Mycetocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.751617e-08,0,1.247348e-07,4.815597e-08,0,0,0,0,0,9.497862e-08,0,0,0,0,1.037118e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501886e-07,4.874997e-07,2.039526e-06,8.152986e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438364e-07,0,0,0,0,0,1.401155e-06,0,1.958429e-07,0,0,0,0,0,0,0,0
"Mycobacterium",0.0001716315,2.921659e-05,3.065142e-05,1.898637e-05,1.799208e-05,1.857734e-05,1.934831e-05,6.802927e-05,1.142687e-05,9.769384e-06,2.033963e-05,1.282767e-05,1.276653e-05,5.698449e-06,0.0003597031,0.0001058879,0.0007666935,0.0007358926,0.0005295442,2.831363e-05,0.0001043497,2.292962e-05,0.0001238193,7.545238e-05,0.0001177879,0.0001212769,1.129348e-06,6.113451e-06,5.029689e-05,1.238203e-05,1.150333e-05,4.449844e-06,5.911337e-06,1.199798e-05,4.041759e-06,1.500982e-05,6.175395e-06,1.616208e-05,1.575568e-06,7.346316e-06,1.67867e-06,0.0003014519,4.915981e-06,1.108315e-05,1.684994e-05,2.034174e-05,2.379344e-05,1.291617e-05,2.512029e-06,3.714244e-06,3.696304e-06,8.433855e-06,1.633479e-06,8.238158e-06,4.421942e-06,5.885758e-05,6.414612e-06,4.049823e-05,3.648853e-05,5.121013e-05,7.197231e-06,5.392486e-06,7.194785e-05,4.423837e-06,5.257433e-06,2.70624e-06,3.818732e-06,2.191161e-06,5.649871e-06,1.618501e-05,2.066002e-05,2.538466e-05,8.745134e-06,7.321855e-06,3.865278e-06,1.073454e-05,2.570301e-06,5.5359e-06,1.859556e-06,6.368379e-06,6.458285e-06,1.767114e-05,3.027877e-06,0.0001660593,0.0001965725,6.21261e-05,4.507264e-05,2.674482e-05,3.071605e-05,4.193569e-05,3.6364e-05,3.849128e-05,8.053779e-06,7.422738e-06,7.547875e-05,3.835992e-05,3.113712e-06,7.431813e-06,3.443817e-05
"Mycoplasma",1.507297e-06,3.914708e-07,6.440677e-07,5.051116e-06,4.815187e-07,9.178822e-07,4.199279e-07,7.190927e-06,2.223637e-05,6.68504e-07,5.908584e-07,5.301311e-08,3.731464e-06,1.516609e-06,1.154742e-06,1.189652e-06,8.381127e-07,2.926486e-06,6.127816e-07,3.558043e-06,7.523625e-07,2.056754e-06,5.53089e-07,2.553684e-06,1.015736e-06,2.199117e-07,2.053363e-07,2.828643e-07,3.388679e-06,5.661692e-08,5.542483e-08,6.79477e-07,1.109337e-06,5.964006e-06,4.823729e-07,2.329765e-07,1.879369e-06,7.815598e-07,1.837231e-07,0,0,0,1.642613e-05,2.079328e-06,9.333174e-05,0.0001408759,2.568028e-05,0.0001111607,2.213294e-06,4.178521e-07,2.104797e-06,9.662075e-08,1.649026e-07,2.286961e-07,2.568115e-06,2.223684e-07,1.666803e-07,9.490858e-06,5.267878e-05,0.0001261358,5.757792e-07,0.0001075733,9.615104e-07,2.684779e-06,5.594685e-07,3.27291e-07,6.171577e-07,2.060447e-06,1.121243e-06,1.172242e-06,1.264982e-06,2.158747e-05,3.505842e-05,0.0002255398,6.763358e-05,0.0006430049,3.829078e-06,1.06855e-05,2.561518e-07,2.583096e-07,7.133494e-07,3.997469e-06,1.478071e-06,0,2.475822e-06,8.20177e-07,1.360452e-06,0.0001717125,1.719702e-05,1.406977e-06,1.441662e-05,2.218035e-06,7.477178e-06,9.955153e-07,5.563011e-07,0,7.515454e-07,6.680648e-07,1.604636e-06
"Myroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.600277e-08,0,0,0,0,0,0,0,4.828071e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.089462e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxococcus",0,0,0,0,0,0,1.023354e-07,0,5.368295e-07,0,0,0,3.490416e-07,1.240678e-07,1.4914e-07,0,0,0,0,0,0,0,0,1.770475e-07,0,3.256593e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.487407e-07,0,0,0,0,2.386908e-07,0,0,0,0,0,0,0,0,2.13809e-07,0,7.811861e-08,0,5.279439e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.690195e-08,4.493823e-07,0,0,0,0,0,2.310677e-06,0,1.278306e-06,0,0,0,0,0,0,0,0
"Nakamurella",0,0,3.198521e-07,0,0,0,1.645663e-07,5.822841e-07,4.764692e-07,3.133458e-08,0,0,4.844439e-07,7.419128e-08,2.067526e-06,2.543056e-07,1.275822e-06,6.740654e-07,2.525858e-07,1.949797e-07,1.404219e-06,2.841569e-07,1.188682e-06,1.511262e-07,3.903445e-07,1.2243e-07,4.684503e-06,1.152244e-07,3.450476e-06,4.224966e-08,1.928407e-08,8.8566e-08,8.140165e-07,0,2.907551e-08,1.560929e-07,0,0,0,0,0,0,6.391004e-07,0,0,0,0,0,1.890021e-07,4.000019e-07,1.69827e-07,5.802101e-08,0,0,6.75691e-08,0,0,2.200203e-07,3.16216e-07,2.256914e-07,0,0,4.873965e-07,3.204482e-07,3.04136e-07,5.107965e-07,3.805145e-08,1.222899e-07,0,0,0,0,0,0,0,1.334499e-07,4.282405e-07,4.6836e-07,8.821634e-08,9.104339e-07,1.079625e-07,5.391888e-07,1.173786e-07,0,0,0,0,0,0,0,2.487734e-07,0,1.174758e-07,4.579287e-08,1.63628e-05,0,0,2.021263e-07,2.102713e-08
