"","CBJMJ00700","CBJMJ01400","CBJMJ02800","CBJMJ04200","CBJMJ04201","CBJMJ04202","CBJMJ04203","CHCFJ00700","CHCFJ01400","CHCFJ02800","CHCFJ04200","CHCFJ05601","CHCFJ05602","CHCFJ05603","DGYFJ06201","DGYFJ06202","DGYFJ06203","DGYMJ06201","DGYMJ06202","DGYMJ06203","DHCFJ07801","DHCFJ07802","DHCFJ07803","DHCMJ07801","DHCMJ07802","DHCMJ07803","DHKFJ23501","DHKFJ23502","DHKFJ23503","DSLFJ04101","DSLFJ04102","DSLFJ04103","DSLMJ04101","DSLMJ04102","DSLMJ04103","DSTFJ04001","DSTFJ04002","DSTFJ04003","DSTMJ04001","DSTMJ04002","DSTMJ04003","HBJMJ00700","HBJMJ01400","HBJMJ02800","HBJMJ04200","HBJMJ04201","HBJMJ04202","HBJMJ04203","HHCFJ00700","HHCFJ01400","HHCFJ02800","HHCFJ04200","HHCFJ05601","HHCFJ05602","HHCFJ05603","LBJMJ00700","LBJMJ01400","LBJMJ02800","LBJMJ04200","LBJMJ04201","LBJMJ04202","LBJMJ04203","LHCFJ00700","LHCFJ01400","LHCFJ02800","LHCFJ04200","LHCFJ05601","LHCFJ05602","LHCFJ05603","MBJMJ00700","MBJMJ01400","MBJMJ02800","MBJMJ04200","MBJMJ04201","MBJMJ04202","MBJMJ04203","MHCFJ00700","MHCFJ01400","MHCFJ02800","MHCFJ04200","MHCFJ05601","MHCFJ05602","MHCFJ05603","NBJMJ00100","NBJMJ00700","NBJMJ01400","NBJMJ02800","NBJMJ04200","NBJMJ04201","NBJMJ04202","NBJMJ04203","NHCFJ00100","NHCFJ00700","NHCFJ01400","NHCFJ02800","NHCFJ04200","NHCFJ05601","NHCFJ05602","NHCFJ05603"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27493e-07,0,2.205366e-07,0,2.876273e-07,0,1.534728e-07,0,0,3.091945e-07,3.188112e-07,3.959403e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032821e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Accumulibacter",0,0,1.842612e-07,1.86308e-07,0,0,0,1.890212e-06,1.099892e-06,1.538804e-06,5.321549e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.198287e-07,1.122076e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.560111e-08,4.106441e-07,1.066964e-06,1.361384e-07,0,0,0,0,0,1.226717e-07,1.037693e-07,0,0,0,7.520971e-07,1.013989e-06,1.128924e-06,8.444372e-07,0,0,0,5.044637e-07,0,0,0,0,0,0,1.096533e-07,4.717974e-07,3.123059e-07,3.413397e-06,0,0,0,0,0,0,0,5.857342e-07,0,0,0,0,3.439759e-07,5.741928e-07,4.665004e-07,3.131687e-07,0,0,0
"Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.647179e-07,2.581309e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacter",0,5.107307e-07,1.645868e-06,4.241285e-07,7.257648e-08,7.46022e-07,6.229109e-08,5.20911e-07,1.424748e-06,2.716e-06,4.746165e-07,6.134374e-08,8.638371e-07,1.925398e-06,7.728429e-06,2.201874e-06,8.980344e-07,5.601171e-06,6.453083e-06,6.29504e-07,5.028684e-06,2.810285e-07,8.715317e-06,1.266382e-06,6.453273e-06,8.585387e-06,2.418789e-07,2.045225e-07,2.066653e-06,0,1.191842e-07,2.319031e-07,8.096696e-07,8.587318e-08,0,2.635221e-07,0,0,0,0,0,0,4.711506e-07,0,0,1.248126e-07,0,8.831343e-07,2.447233e-07,4.666243e-07,4.669962e-07,1.307538e-07,0,5.880528e-08,2.036514e-06,0,7.077581e-07,8.69853e-07,6.798865e-07,1.124659e-06,2.576069e-07,1.161582e-07,1.336956e-07,7.686314e-07,4.874366e-07,1.659254e-06,5.303254e-07,3.23623e-06,9.272884e-08,0,1.053944e-06,6.120451e-07,6.543003e-07,0,2.725175e-07,9.010427e-08,4.401361e-07,2.320574e-06,6.689104e-07,7.850368e-06,5.207136e-07,1.779506e-06,3.094209e-06,0,0,0,1.733129e-06,1.909186e-06,1.439611e-05,2.269158e-06,2.229463e-06,0,3.817962e-07,3.005952e-07,5.152675e-07,0,2.356125e-08,2.963506e-08,6.279816e-07
"Acetobacterium",0,0,0,0,0,0,0,0,9.194809e-07,2.431804e-07,0,4.488566e-08,2.590831e-06,3.498884e-07,1.698371e-06,4.672695e-08,3.815186e-06,4.342121e-08,1.595543e-07,4.562986e-07,0,1.791466e-07,0,9.304028e-08,0,0,0,2.175333e-07,3.245845e-07,0,0,1.203047e-07,1.198099e-06,0,4.839333e-08,4.890101e-08,4.004915e-08,3.772937e-07,0,0,0,0,1.220226e-06,0,0,0,0,0,2.386348e-07,1.52578e-07,3.974351e-07,0,0,4.196492e-07,9.846914e-07,1.67648e-07,1.928796e-07,0,0,1.084491e-07,1.473809e-07,0,0,8.437657e-07,6.311683e-08,2.250208e-07,1.274483e-07,3.206013e-07,0,3.938286e-07,1.024076e-06,0,1.24158e-07,0,0,0,8.7628e-07,9.706165e-07,1.692759e-07,6.651584e-08,0,1.202082e-06,2.119532e-07,0,0,0,2.212434e-07,0,8.180657e-07,0,0,0,5.066889e-07,2.812587e-08,6.606766e-08,0,0,1.238692e-07,0
"Acetomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.132123e-08,0,0,0,0,5.967851e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acholeplasma",2.847779e-06,1.02742e-06,0,0,3.344379e-08,5.614701e-07,0,4.751302e-07,5.022853e-07,2.674554e-08,1.750112e-07,1.375746e-07,2.940906e-07,2.188569e-07,7.386678e-07,1.402829e-07,2.284798e-07,0,2.675161e-08,5.095606e-07,4.62999e-08,1.357095e-07,0,4.40009e-07,1.793127e-07,6.319816e-07,0,5.514979e-08,5.521844e-07,0,4.745959e-08,3.394141e-07,3.363325e-07,1.584521e-07,4.121273e-07,1.59264e-07,0,8.482279e-08,0,1.840467e-07,9.248171e-08,0,1.543435e-06,0,0,0,0,1.925676e-07,0,0,4.56675e-07,0,3.056546e-08,1.401348e-07,9.333943e-08,1.999034e-07,8.414138e-07,2.249806e-07,0,0,1.674561e-07,3.669605e-08,0,3.72818e-07,1.171082e-07,0,0,4.101068e-07,0,1.880275e-07,0,0,0,0,0,2.0483e-07,5.086502e-07,3.692761e-08,4.106006e-08,1.680404e-07,0,5.466526e-07,3.608946e-07,0,0,0,0,6.775752e-08,5.560617e-06,0,2.767097e-07,1.388243e-07,3.271637e-07,4.329112e-08,0,0,0,0,2.148799e-08
"Achromobacter",1.520017e-06,1.789127e-07,1.563298e-06,1.572543e-07,7.95471e-08,4.475606e-06,9.920944e-08,1.328496e-05,1.706241e-05,6.117429e-07,1.87201e-07,6.859212e-08,4.183548e-08,2.466506e-07,6.512832e-08,7.825979e-08,7.330939e-07,4.978207e-07,0,5.529911e-07,0,1.150142e-07,0,0,0,8.315743e-08,4.098172e-08,0,5.949357e-08,0,6.143993e-08,0,8.543249e-08,2.657549e-07,2.232216e-08,0,0,0,0,0,9.897434e-08,0,6.58421e-08,4.195971e-07,6.843838e-08,9.959537e-07,6.590447e-08,2.597593e-06,5.380853e-06,2.451593e-06,5.24303e-07,6.10909e-08,0,0,0,7.102052e-07,1.896644e-07,6.593524e-07,1.87712e-06,3.179142e-06,5.275828e-07,0,1.510062e-05,1.01166e-05,0,4.791811e-08,0,7.838671e-08,0,1.113355e-07,7.754677e-07,9.736422e-07,0,1.752064e-07,4.744951e-08,2.036461e-07,1.366971e-06,6.474656e-06,0,4.882961e-07,2.063989e-07,3.181852e-08,7.045048e-08,8.063674e-06,2.799664e-06,0,7.060482e-07,1.532017e-06,7.326422e-06,6.808072e-06,2.008162e-06,2.678792e-06,1.34312e-05,6.895501e-06,1.321353e-07,2.735808e-07,3.497752e-08,1.508694e-07,9.264751e-08
"Acidaminococcus",2.435722e-06,1.256577e-06,8.445303e-08,2.424399e-07,0,0,0,8.131293e-07,2.541519e-06,4.697214e-07,9.949236e-07,2.824905e-07,4.053045e-06,6.593568e-06,4.674125e-06,2.03967e-06,7.624037e-07,6.398107e-08,1.089639e-07,6.095656e-06,1.103857e-07,6.69383e-07,1.366513e-07,1.738348e-07,0,0,3.511786e-07,4.537043e-07,1.131715e-06,1.29918e-07,1.215626e-06,5.26381e-07,3.3171e-06,1.444476e-07,6.498954e-07,1.61839e-07,0,1.652085e-06,0,1.333268e-07,2.097804e-07,0,1.758e-06,0,0,5.851526e-08,0,1.344451e-07,8.24217e-07,1.840077e-06,1.928243e-06,7.040354e-08,0,3.157633e-07,1.172777e-06,3.482178e-06,8.312847e-07,1.464519e-07,0,5.651267e-07,4.673053e-08,0,1.169006e-06,2.166992e-06,4.899635e-07,1.772001e-07,3.684127e-07,1.933741e-06,2.31555e-07,9.276368e-06,1.561632e-06,0,2.385355e-07,0,0,0,6.03709e-07,3.314851e-06,1.0941e-07,1.502279e-06,7.50898e-07,6.81141e-06,1.826538e-06,0,0,4.668731e-06,8.863019e-08,1.668712e-07,8.03101e-07,0,3.367542e-07,1.781861e-07,1.170187e-06,9.718199e-07,0,0,4.137585e-08,4.633377e-07,3.718022e-07
"Acidiphilium",0,3.944212e-07,0,0,0,0,0,0,8.014376e-07,0,0,0,2.359521e-07,1.771688e-07,2.016373e-07,3.642032e-07,1.801547e-07,7.242657e-08,7.14803e-08,8.64492e-07,0,0,0,7.294358e-08,0,0,0,0,6.139736e-08,0,0,0,3.960402e-07,0,7.153236e-08,0,0,2.077734e-07,0,0,0,0,5.968646e-07,0,0,0,0,0,1.0316e-07,0,2.919154e-08,0,0,0,1.301842e-07,8.148152e-07,1.60733e-07,9.607243e-08,0,0,0,0,0,3.01387e-06,0,0,0,2.385682e-07,0,2.998468e-07,0,0,0,1.359601e-07,0,0,5.070368e-07,5.779886e-07,7.177298e-08,1.479688e-07,0,3.622799e-07,1.336894e-07,0,0,0,0,0,0,0,0,0,3.042377e-07,2.493588e-07,0,0,0,0,6.274494e-08
"Acidipropionibacterium",0,0,5.126737e-07,1.310544e-07,0,0,0,2.928104e-06,5.995123e-07,4.377095e-07,2.416529e-06,8.379562e-07,7.647831e-08,2.063663e-06,1.813271e-05,5.961178e-06,8.157594e-06,1.819845e-05,1.285948e-05,4.125026e-06,1.207898e-05,9.511772e-07,1.908177e-05,7.212965e-06,1.891512e-05,2.081832e-05,5.389204e-07,4.082847e-05,0.0001221016,4.711129e-07,4.362799e-07,1.82429e-07,3.066568e-06,1.475389e-06,1.450237e-07,8.820677e-07,2.78478e-08,1.265185e-07,0,0,0,0,0,0,8.095759e-08,0,0,2.453338e-07,0,3.523951e-07,6.639654e-07,0,4.637884e-08,3.401593e-07,1.034108e-06,0,6.076102e-07,5.29577e-07,8.208023e-07,4.501839e-07,3.401947e-07,0,1.402067e-06,3.425111e-07,5.05114e-07,3.635857e-07,8.058047e-07,4.257209e-07,0,0,0,3.815967e-07,1.31662e-07,5.294472e-07,4.645343e-08,8.551157e-08,5.352606e-07,1.273494e-06,4.510486e-07,4.610236e-07,1.356516e-06,2.410344e-07,4.092178e-07,0,0,0,2.747478e-07,7.509217e-07,7.613212e-07,9.33503e-07,1.187692e-07,1.220826e-06,1.619439e-06,1.331118e-06,1.046779e-05,3.401386e-06,6.917837e-07,9.321528e-06,1.42052e-06
"Acidisphaera",0,0,0,0,0,0,0,3.236728e-07,0,0,0,0,0,1.433404e-07,0,0,0,0,0,0,0,0,4.351615e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.240133e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47022e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687053e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.024475e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.777523e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidocella",0,0,0,0,0,0,0,1.905046e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0083e-07,0,0,0,5.920028e-07,0,0,0,0,0,0,8.082574e-08,0,0,0,0,1.27678e-07,3.30037e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.653197e-08,0,0,3.80356e-07,0,0,1.327862e-06,0,0,0,0,0
"Acidomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.784053e-07,0,1.171506e-07,1.337994e-07,0,1.071302e-07,0,0,0,0,0,0,0,0,1.459954e-07,0,0,0,0,0,0,1.841624e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.121783e-07,0,0,0,3.935943e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630126e-07,0,0,0,0,0,0,0
"Acidothermus",0,0,0,2.39686e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.278517e-07,4.38064e-07,0,0,0,2.321139e-07,3.614648e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.730659e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.210374e-07,0,1.649182e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.216881e-07,0,2.141871e-07,0,0,0,0
"Acidovorax",1.26372e-05,1.209375e-07,1.931324e-05,1.869933e-06,4.268188e-07,4.315326e-06,4.59898e-07,0.0001100011,7.805906e-06,6.678252e-06,4.267991e-06,1.36866e-06,9.263351e-07,1.438757e-06,2.216074e-06,2.614106e-05,0.000397778,1.719577e-05,2.503682e-06,3.380726e-05,8.866223e-07,1.138533e-05,9.951234e-07,1.079811e-06,9.1995e-07,7.79659e-07,2.78244e-07,1.129879e-06,0.0008027879,3.41146e-06,7.22882e-06,2.335611e-05,4.066962e-05,4.198927e-06,2.240415e-06,1.87064e-06,1.254751e-06,2.845913e-06,3.637663e-06,2.892254e-08,0,0,1.639125e-06,5.264879e-07,7.132736e-07,1.241774e-07,4.514327e-07,8.149526e-07,2.180343e-05,7.774145e-06,9.443538e-06,1.882395e-06,2.751872e-06,8.904895e-05,2.289548e-05,6.890793e-07,9.505941e-06,2.66941e-06,3.199635e-05,5.479211e-05,3.280351e-06,2.813957e-06,1.99329e-05,4.350588e-06,4.577352e-06,6.633011e-06,2.788424e-07,2.867806e-08,3.628867e-07,1.514576e-06,1.272428e-06,1.120897e-05,5.193867e-07,8.805708e-08,1.769043e-06,4.529415e-07,2.130495e-05,2.658735e-06,1.990713e-06,4.061505e-05,2.462861e-06,0.0001071689,9.583286e-05,0,1.177178e-05,0,6.367732e-07,9.767802e-06,3.340738e-05,4.437338e-05,3.242557e-06,1.813204e-06,0.0001488685,7.525255e-06,3.126072e-06,3.900912e-06,3.113377e-07,2.029039e-06,0.0001432279
"Acinetobacter",0.004959652,0.0003797412,0.002946891,0.0001311694,2.195583e-05,6.15537e-05,0.0001274333,0.0004869395,1.837708e-05,5.158942e-05,1.283574e-05,0.0002847939,0.0008492839,0.000321187,0.000166928,0.0001896706,0.000483663,0.0001896828,0.0002688958,0.0006107078,0.0001000375,0.0003359503,0.0001673217,0.0001021048,0.0001124879,0.0001353658,0.0002736711,0.0001796138,0.000267148,0.0002381876,0.0004481768,1.187669e-05,0.0003199214,0.000413226,4.170589e-05,0.0002366865,0.0002578519,0.0002584361,0.001476211,3.94826e-05,0.0001016981,0.0003178159,0.0002274089,7.879958e-05,7.7484e-05,3.025379e-05,5.247524e-05,8.487961e-05,0.0001810969,0.000248651,5.162203e-05,1.188617e-05,0.0002113697,6.692977e-05,4.338154e-05,2.7469e-05,0.003100203,0.0001598503,0.00192818,0.0001303793,3.191198e-05,3.860609e-05,0.0006139936,3.968855e-05,8.497052e-05,2.374157e-05,0.0001087937,0.0001041962,0.0001398864,0.0001319967,0.0002479526,0.005164027,7.942197e-05,7.606998e-05,0.000113561,2.189093e-05,6.583645e-05,1.997517e-05,7.768964e-05,2.574267e-05,0.0005381617,6.160939e-05,5.422556e-05,5.623288e-05,0.0003760734,0.0001224845,0.000327081,0.0008320191,0.002160007,0.0008480154,0.0001633475,0.0003864965,0.0001065027,0.0003855435,5.016884e-05,1.85072e-05,0.0003280515,0.0007609105,0.0001203142
"Acremonium",0,0,2.451423e-07,2.422369e-07,0,4.774541e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.856047e-08,0,2.332627e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.885934e-07,1.924458e-07,1.388723e-07,3.59477e-06,2.612194e-07,0,0,0,0,0,0,0,0,0,7.93714e-07,3.917345e-07,0,5.043032e-08,0,0,0,0,0,0,0,0,0,0,0,0,7.107881e-07,5.802814e-07,0,6.689014e-08,5.451915e-07,0,0,0,0,0,0,0,0
"Actibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853071e-07,0,0,0,0,0,0,0,0,0,0,0
"Actinoalloteichus",0,0,0,0,0,0,0,0,0,0,0,0,7.022384e-08,0,1.28581e-06,2.469036e-07,1.887335e-07,1.432177e-06,7.19349e-07,2.558889e-07,4.806176e-07,0,5.567288e-07,8.527595e-07,1.539762e-06,2.032576e-06,0,0,9.85059e-07,0,0,0,0,0,0,3.84798e-07,0,0,3.366281e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.183159e-07,0,0,0,0,9.048608e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.730399e-07,0,0,0,1.203218e-07,0,0,2.547526e-07,1.848629e-05,0,0,0,0
"Actinobacillus",5.829191e-07,2.246541e-07,3.585837e-07,9.618466e-08,9.113163e-08,0,1.182321e-07,4.127419e-06,4.3051e-05,2.269476e-07,3.653146e-07,8.337984e-08,1.240848e-06,2.680133e-06,1.250717e-06,8.031516e-07,1.314862e-06,1.757927e-06,6.650676e-07,5.117287e-06,1.347492e-06,7.917413e-07,2.901076e-06,2.83825e-06,3.132657e-06,2.279615e-06,0,4.289015e-07,1.167345e-06,4.785561e-08,2.117503e-07,2.851883e-08,1.222897e-06,2.590293e-07,3.666902e-07,2.060929e-06,1.257206e-07,2.430763e-07,4.221469e-08,7.73232e-08,8.648243e-08,0,1.65351e-06,2.355226e-07,1.718711e-07,0,1.094142e-07,8.562716e-07,1.510094e-06,1.887129e-05,3.38773e-07,0,3.025882e-07,7.340193e-07,1.000854e-06,2.042702e-06,8.239517e-07,2.720498e-07,5.300967e-07,1.243129e-06,0,2.999813e-07,0.000121868,8.783004e-07,4.963557e-07,2.707606e-07,5.636295e-07,2.450536e-06,8.294193e-08,3.517011e-06,6.113396e-06,1.575785e-06,7.677303e-06,2.772003e-05,1.575508e-07,0,5.127799e-07,1.733853e-05,2.903438e-08,3.894083e-07,2.370982e-06,1.524961e-06,2.38504e-06,0,0,0,9.407994e-08,8.689644e-07,8.524827e-07,3.647569e-07,6.553447e-07,0.0001332509,1.476152e-06,1.061683e-06,3.008324e-07,9.349556e-07,8.783999e-08,4.847106e-07,4.822629e-07
"Actinobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071792e-06,0,1.044607e-06,4.805851e-07,1.335216e-06,0,3.55476e-07,2.86347e-07,5.063782e-07,7.471306e-07,1.799238e-06,1.811012e-06,2.732114e-08,3.900291e-07,5.084274e-06,0,0,0,0,0,0,0,0,3.271367e-07,0,0,0,0,0,0,0,0,0,0,1.482184e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.263557e-07,0,0,0,8.958591e-08,0,0,0,0,0,0,0,0,0,0,0,7.899232e-08,0,0,0,0,0,0
"Actinokineospora",0,0,3.34519e-07,0,0,0,0,0,0,0,0,0,0,0,2.33645e-07,0,0,2.577879e-07,1.353794e-07,6.310831e-08,0,0,0,1.340875e-07,9.777686e-08,6.352824e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.799016e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.839918e-07,0,0,0,0,2.029342e-07,0,0,3.327277e-06,0,0,0,4.507539e-08
"Actinomadura",0,0,0,0,0,0,0,0,0,3.116747e-07,4.588708e-07,0,4.719042e-07,2.952813e-07,4.397626e-07,5.995019e-07,9.380837e-08,1.078546e-06,5.918492e-07,0,1.19463e-06,9.594041e-08,1.41389e-06,0,6.303958e-07,7.097737e-07,0,0,1.023289e-07,1.971651e-07,1.056767e-07,1.174976e-07,2.127132e-07,1.122076e-07,0,1.264906e-07,0,1.430678e-07,0,0,0,0,6.812462e-07,0,0,0,0,0,0,0,0,0,0,0,3.585667e-07,0,0,0,0,0,0,0,0,0,1.869508e-07,0,1.009632e-07,2.194828e-07,0,0,0,0,0,0,0,0,0,0,0,7.130498e-07,0,6.652192e-07,3.682212e-07,0,0,0,8.600799e-08,0,0,0,0,0,2.439881e-07,0,1.323125e-05,5.871977e-07,0,0,1.452128e-07
"Actinomyces",4.288619e-06,2.399445e-06,3.539625e-06,1.551436e-06,5.243525e-07,9.309046e-07,7.327964e-08,1.073367e-05,1.065501e-05,3.61776e-06,1.216024e-05,3.671019e-06,9.888995e-06,3.700439e-06,0.0001119309,4.157685e-05,5.62479e-05,0.000107658,0.0001118396,3.010697e-05,0.0001569481,1.613259e-05,0.0001693181,0.0001055573,0.0001634957,0.0002083702,4.177368e-06,1.168039e-05,0.0001023358,1.038244e-06,1.608032e-06,2.487531e-06,4.878583e-06,1.51676e-06,1.580657e-06,1.721399e-05,5.706517e-07,5.253972e-06,2.265869e-06,6.884006e-07,5.72916e-07,0,1.633006e-05,8.99385e-07,1.357996e-06,1.004151e-07,2.224276e-07,6.401023e-07,3.28321e-06,6.625416e-06,4.707452e-06,4.856713e-07,1.764772e-06,1.604929e-06,3.135357e-06,1.224778e-05,3.146005e-06,1.487191e-06,3.272026e-06,1.095633e-05,5.287656e-06,1.918828e-06,9.124364e-06,1.602582e-05,3.989164e-06,4.04465e-06,1.628517e-06,3.286428e-06,1.422826e-06,8.187903e-06,3.635492e-06,2.088462e-06,1.48652e-06,0,6.655607e-07,9.555561e-07,1.880798e-05,1.882664e-05,2.753502e-06,3.993036e-06,3.069752e-06,8.925541e-06,3.620473e-06,0,2.633017e-06,4.374277e-06,1.767285e-06,3.596448e-06,5.59195e-06,3.349e-06,4.280886e-06,3.154735e-06,1.372274e-05,8.100036e-06,2.098801e-05,3.432199e-05,2.550597e-06,1.425527e-05,1.581081e-05
"Actinomycetospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377304e-07,0,0,0,1.46476e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.628297e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.176984e-07,0,0,0,0
"Actinoplanes",1.957848e-06,0,3.191313e-08,0,0,0,0,3.072655e-07,2.938527e-07,5.386083e-08,2.033914e-07,0,1.845012e-07,8.023948e-08,5.744278e-06,2.117086e-06,1.385194e-06,1.330884e-05,3.156655e-06,3.445833e-07,1.217538e-05,1.166229e-06,2.000634e-05,4.230344e-06,8.403769e-06,9.519596e-06,0,0,3.872547e-07,0,7.477123e-08,0,1.627907e-07,3.869228e-08,0,5.157945e-07,0,4.910819e-08,0,0,0,0,0,0,0,0,0,0,2.971197e-08,0,1.976221e-07,0,0,0,0,4.573876e-07,1.537446e-07,4.696448e-07,0,3.394038e-07,0,0,0,1.16982e-07,6.596727e-08,1.010447e-07,0,8.946309e-08,0,0,0,0,0,0,1.322913e-07,0,1.932305e-07,3.718287e-08,2.067194e-08,0,1.108036e-07,0,0,0,0,0,3.241986e-07,0,1.431615e-06,0,1.573438e-07,6.284412e-07,1.833993e-07,4.068133e-07,1.540067e-05,1.246818e-06,0,0,1.220719e-07
"Actinopolyspora",3.530963e-06,1.949947e-07,5.307975e-06,2.153186e-07,2.324911e-07,5.078185e-07,2.622329e-07,1.872938e-07,6.466831e-07,2.309031e-07,0,3.618591e-08,9.556303e-08,4.690485e-07,1.778633e-06,1.785454e-06,2.940705e-06,1.816901e-06,4.253307e-07,1.244939e-06,4.724617e-07,2.319138e-07,5.665406e-07,1.042917e-06,1.870514e-07,2.0233e-07,0,0,0,8.449933e-08,1.756451e-07,0,1.385104e-07,8.858496e-08,0,2.653141e-07,0,0,0,4.916228e-08,0,0,1.576959e-07,6.356025e-08,1.343967e-07,0,5.404067e-07,0,8.009315e-08,0,3.433314e-07,2.580286e-07,2.211271e-07,0,0,1.519121e-07,8.082574e-08,8.634728e-07,2.089284e-07,8.927233e-07,2.699799e-07,0,0,1.391078e-07,0,2.133335e-07,4.254067e-08,0,1.873469e-07,0,0,0,4.977886e-07,0,8.03817e-07,0,0,2.241301e-07,0,0,0,1.457361e-07,8.630183e-08,0,0,0,1.150067e-06,4.853944e-07,9.407755e-07,4.886605e-07,5.786852e-07,0,3.267965e-07,2.148943e-07,2.644416e-05,2.799431e-07,0,9.853657e-08,9.803897e-08
"Actinosynnema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453008e-07,0,0,0,0,0,1.321406e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
