"","CBJMD00700","CBJMD01400","CBJMD02800","CBJMD04200","CBJMD04201","CBJMD04202","CBJMD04203","CHCFD00700","CHCFD01400","CHCFD02800","CHCFD04200","CHCFD05601","CHCFD05602","CHCFD05603","DGYFD06201","DGYFD06202","DGYFD06203","DGYMD06201","DGYMD06202","DGYMD06203","DHCFD07801","DHCFD07802","DHCFD07803","DHCMD07801","DHCMD07802","DHCMD07803","DHKFD23501","DHKFD23502","DHKFD23503","DSLFD04101","DSLFD04102","DSLFD04103","DSLMD04101","DSLMD04102","DSLMD04103","DSTFD04001","DSTFD04002","DSTFD04003","DSTMD04001","DSTMD04002","DSTMD04003","HBJMD00700","HBJMD01400","HBJMD02800","HBJMD04200","HBJMD04201","HBJMD04202","HBJMD04203","HHCFD00700","HHCFD01400","HHCFD02800","HHCFD04200","HHCFD05601","HHCFD05602","HHCFD05603","LBJMD00700","LBJMD01400","LBJMD02800","LBJMD04200","LBJMD04201","LBJMD04202","LBJMD04203","LHCFD00700","LHCFD01400","LHCFD02800","LHCFD04200","LHCFD05601","LHCFD05602","LHCFD05603","MBJMD00700","MBJMD01400","MBJMD02800","MBJMD04200","MBJMD04201","MBJMD04202","MBJMD04203","MHCFD00700","MHCFD01400","MHCFD02800","MHCFD04200","MHCFD05601","MHCFD05602","MHCFD05603","NBJMD00100","NBJMD00700","NBJMD01400","NBJMD02800","NBJMD04200","NBJMD04201","NBJMD04202","NBJMD04203","NHCFD00100","NHCFD00700","NHCFD01400","NHCFD02800","NHCFD04200","NHCFD05601","NHCFD05602","NHCFD05603"
"Cryptobacterium",0,6.205095e-06,0,4.188938e-07,4.225274e-08,6.250021e-08,0,1.719073e-06,7.737478e-07,6.153674e-07,1.018976e-06,8.080551e-07,1.830722e-06,2.075291e-06,8.773045e-07,2.602139e-07,5.976049e-05,1.331796e-06,9.212008e-07,3.158364e-06,8.8955e-07,0,1.047891e-06,2.225495e-06,1.049878e-06,1.43605e-06,2.033956e-08,4.420517e-06,2.108027e-05,9.740146e-06,0,0,0,3.601289e-07,0,2.767412e-07,0,8.162443e-07,1.498868e-07,0,0,0,0,4.530781e-07,7.615913e-07,0,3.148547e-07,0,0,5.795144e-07,8.042457e-07,6.305265e-07,2.729981e-07,1.495212e-07,7.539122e-07,0,0,7.150413e-07,1.828581e-07,0,3.417985e-08,8.36167e-07,5.050006e-07,2.049844e-06,6.39975e-07,5.37288e-05,2.123867e-07,8.327324e-08,1.484382e-07,0,0,0,1.115405e-07,0,1.347997e-07,0,7.41373e-07,1.505102e-07,5.330706e-07,6.459816e-07,7.997334e-07,1.182856e-06,2.559408e-06,7.175574e-07,0,0,0,9.359607e-07,0,0,1.44324e-06,0,1.898719e-07,1.963903e-07,5.900967e-07,1.585043e-06,7.144549e-07,1.635795e-06,2.417085e-05
"Cupriavidus",0.0002228656,4.259864e-05,0.0001872479,2.843609e-05,8.715682e-06,7.039188e-05,2.236481e-06,2.747448e-05,2.903885e-05,1.237673e-05,2.47373e-06,2.557395e-06,5.280991e-06,1.006118e-05,1.020305e-06,4.364192e-07,1.581909e-05,2.738964e-06,4.90489e-06,2.50108e-06,0,4.336288e-06,1.579142e-07,9.7776e-07,1.846611e-07,6.619856e-08,3.245018e-07,8.121574e-08,1.447278e-05,1.69657e-08,1.965494e-07,2.186075e-08,2.026289e-07,7.316485e-07,4.942888e-07,1.148348e-06,1.948411e-07,4.534751e-06,7.063841e-07,3.351196e-07,0,3.514783e-05,2.704125e-05,3.460868e-06,2.304965e-05,3.80606e-06,1.13691e-05,0,7.916829e-06,9.638249e-06,5.713831e-06,3.688591e-06,2.266188e-06,2.274853e-07,5.222462e-07,7.029221e-05,3.910228e-05,4.690948e-06,5.790964e-06,2.576144e-05,3.625006e-06,4.410868e-05,2.340606e-05,1.299439e-05,1.577846e-05,1.348316e-06,4.448139e-06,4.35795e-06,2.282119e-06,1.201684e-05,4.390497e-05,0.0002737336,5.463713e-06,4.867099e-05,2.536698e-06,0.001202235,7.131628e-06,1.253865e-05,3.694273e-06,1.294962e-05,1.635022e-06,9.059345e-07,1.473889e-07,5.298829e-05,6.636114e-06,1.437312e-05,0.001001269,2.732347e-05,1.174941e-05,8.703145e-06,8.741534e-05,1.725254e-06,2.522695e-07,5.165425e-06,1.097577e-05,2.610643e-06,4.369073e-07,1.970119e-05,1.382046e-06
"Curtobacterium",0.0005207232,7.827131e-05,0.0003041399,0.0004943309,4.672676e-05,0.0004562176,3.34233e-06,0.000316723,0.0002581575,6.292841e-05,0.0002719188,2.661818e-05,2.36956e-05,0.0001939213,0.000374106,0.0002641393,0.002711653,0.0002162474,0.0002440141,0.0001773288,0.0001134061,3.670865e-05,0.0002546729,0.0001422277,0.000152867,0.000134186,4.065818e-06,1.52195e-05,4.585164e-05,7.033889e-05,1.091517e-05,5.997957e-06,2.837143e-05,0.0002287607,2.684011e-06,2.829127e-05,8.134652e-06,6.478638e-05,2.993824e-06,1.00896e-05,6.221391e-06,5.707712e-05,5.476002e-05,5.429253e-05,3.547125e-05,2.956484e-05,3.712098e-05,3.174175e-05,6.580757e-05,7.08451e-05,9.873882e-05,0.0001281573,4.395788e-05,2.63717e-05,1.486598e-05,5.322419e-05,6.244066e-05,1.856079e-05,0.000139463,0.0001879672,5.384648e-05,6.49194e-05,6.736726e-05,6.060823e-05,7.274564e-05,9.844864e-05,1.993475e-05,2.073882e-05,1.384995e-05,2.197557e-05,7.440892e-05,0.0002557342,1.273183e-05,2.099785e-05,8.393343e-06,5.323556e-05,0.0003723929,0.0001248629,5.180634e-05,0.0001358496,0.0002709286,0.0002623508,3.405966e-05,2.97898e-05,3.629871e-05,5.929185e-05,0.0001379447,0.0003924875,7.752825e-05,6.771047e-05,6.678918e-05,3.606163e-05,3.168261e-06,0.0001172496,6.428329e-05,0.0001597162,4.982433e-06,2.349542e-05,0.0001408955
"Curvibacter",3.891422e-06,0,2.091882e-06,0,0,1.967259e-06,0,4.584019e-06,4.252651e-06,7.623581e-06,2.387077e-06,0,0,0,0,0,2.197416e-06,0,0,0,0,0,0,0,0,0,0,0,7.394161e-07,0,0,0,0,3.349041e-07,0,2.34192e-08,0,4.191781e-07,0,0,0,0,0,1.13931e-07,1.119804e-06,0,0,0,1.933991e-06,7.20445e-06,5.716282e-06,5.429259e-06,0,2.487915e-08,0,1.841273e-06,0,1.425912e-07,4.691912e-07,0,3.521276e-07,1.102235e-06,2.950182e-06,2.693075e-06,1.569726e-05,1.846838e-06,2.188005e-07,0,0,0,0,1.722306e-06,1.286367e-07,8.125333e-07,0,3.899012e-06,1.100558e-06,1.776023e-06,5.053632e-06,3.83944e-06,0,0,0,0,0,0,5.582713e-06,8.922832e-07,6.556173e-06,0,2.929198e-07,0,0,3.395574e-06,3.866111e-06,1.963942e-06,0,0,0
"Cutibacterium",1.182088e-05,0,5.514848e-06,1.433515e-05,3.714694e-06,1.580943e-05,4.892659e-07,2.78365e-06,1.037665e-05,1.732958e-06,1.098311e-06,5.643469e-05,1.111787e-05,9.76853e-06,7.139052e-06,6.75019e-06,8.026434e-06,2.030922e-06,5.544025e-06,1.54077e-06,5.562334e-06,1.490017e-06,1.746332e-06,1.22982e-06,5.015703e-06,7.925532e-06,1.042039e-06,1.808678e-06,1.48338e-05,1.6596e-06,1.272936e-06,0,1.605132e-07,1.132372e-06,0,9.328228e-07,9.634966e-07,2.206948e-06,8.241349e-08,3.382516e-07,3.156439e-07,0,0,1.849305e-06,1.073726e-06,6.728793e-06,5.990291e-06,0,2.177699e-06,4.065189e-06,1.684591e-06,1.054638e-06,4.692999e-06,7.036334e-07,9.260949e-07,0,0,0,2.754468e-06,8.886854e-06,3.605503e-06,4.970367e-05,1.137793e-06,1.132825e-06,1.321311e-06,2.300533e-07,1.905126e-05,6.005853e-06,6.221957e-06,0,0,5.088783e-06,3.907203e-06,7.997052e-06,1.09577e-06,0.0001150381,5.397356e-06,7.150505e-06,7.356903e-07,9.067642e-07,9.41392e-06,5.435919e-06,8.060907e-07,6.559156e-06,1.027234e-05,2.261218e-06,8.456296e-06,8.660101e-06,0,0,0.0001351765,0,0,1.549305e-06,6.690003e-06,1.117925e-06,1.352968e-06,1.539644e-05,2.930343e-06
"Cyanobium",0,0,0,0,0,0,0,0,0,0,0,8.635828e-08,0,0,0,0,3.354533e-07,0,0,1.651059e-07,0,0,2.706745e-07,7.465882e-08,0,8.344917e-08,0,0,0,1.294557e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43627e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.393756e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.209903e-07,0,0,0,0,0,0,0,0,0,0,0,4.55936e-06,0,0,0,0,0,0,0,0
"Dactylellina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130779e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.201475e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dactylosporangium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.660257e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dechloromonas",0,0,0,0,0,0,0,0,7.510024e-06,2.115582e-07,1.660019e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.319761e-07,1.321207e-07,3.566415e-06,0,0,0,0,0,0,0,0,0,0,1.909597e-06,1.770654e-06,1.045972e-05,1.199747e-06,0,0,0,0,0,0,0,0,0,0,5.124074e-07,1.762683e-06,3.133238e-06,2.808706e-06,0,0,0,0,0,0,0,4.201495e-08,0,0,9.390921e-06,0,0,7.835696e-08,5.23569e-07,6.671704e-07,0,0,0
"Dehalobacter",2.897649e-07,0,9.841458e-07,2.70252e-07,0,5.733631e-07,0,2.094013e-06,2.679626e-05,5.324455e-07,2.431783e-06,1.624984e-07,4.84201e-08,4.541949e-07,2.72929e-07,9.598372e-07,7.695881e-06,4.061332e-07,0,4.047481e-07,2.804184e-07,1.82043e-07,3.631318e-07,2.767726e-08,4.118237e-08,1.382809e-07,0,0,5.664913e-07,1.663838e-06,0,0,0,2.540689e-06,0,3.32248e-08,0,4.587186e-08,7.614353e-07,9.899187e-07,1.516313e-07,0,0,5.638477e-07,0,0,0,0,1.574988e-06,4.014334e-06,5.677274e-06,2.136309e-07,0,3.07067e-08,6.800733e-08,0,0,1.441432e-06,3.352767e-07,0,0,0,1.744736e-06,2.739427e-05,5.424689e-06,1.848347e-05,3.023623e-08,1.638131e-08,4.858396e-08,0,0,2.354115e-06,3.085621e-07,2.295235e-07,0,1.035593e-06,2.030087e-06,3.22255e-05,9.233059e-06,1.586078e-06,1.424794e-08,4.203656e-07,5.832367e-07,1.716332e-06,8.071915e-07,2.379795e-06,3.18703e-06,2.088445e-06,0,0,5.105729e-06,0,1.698756e-06,5.041418e-07,3.436619e-06,1.565954e-06,3.492059e-08,5.674093e-07,7.288371e-07
