"","CBJMC00700","CBJMC01400","CBJMC02800","CBJMC04200","CBJMC04201","CBJMC04202","CBJMC04203","CHCFC00700","CHCFC01400","CHCFC02800","CHCFC04200","CHCFC05601","CHCFC05602","CHCFC05603","DGYFC06201","DGYFC06202","DGYFC06203","DGYMC06201","DGYMC06202","DGYMC06203","DHCFC07801","DHCFC07802","DHCFC07803","DHCMC07801","DHCMC07802","DHCMC07803","DHKFC23501","DHKFC23502","DHKFC23503","DSLFC04101","DSLFC04102","DSLFC04103","DSLMC04101","DSLMC04102","DSLMC04103","DSTFC04001","DSTFC04002","DSTFC04003","DSTMC04001","DSTMC04002","DSTMC04003","HBJMC00700","HBJMC01400","HBJMC02800","HBJMC04200","HBJMC04201","HBJMC04202","HBJMC04203","HHCFC00700","HHCFC01400","HHCFC02800","HHCFC04200","HHCFC05601","HHCFC05602","HHCFC05603","LBJMC00700","LBJMC01400","LBJMC02800","LBJMC04200","LBJMC04201","LBJMC04202","LBJMC04203","LHCFC00700","LHCFC01400","LHCFC02800","LHCFC04200","LHCFC05601","LHCFC05602","LHCFC05603","MBJMC00700","MBJMC01400","MBJMC02800","MBJMC04200","MBJMC04201","MBJMC04202","MBJMC04203","MHCFC00700","MHCFC01400","MHCFC02800","MHCFC04200","MHCFC05601","MHCFC05602","MHCFC05603","NBJMC00100","NBJMC00700","NBJMC01400","NBJMC02800","NBJMC04200","NBJMC04201","NBJMC04202","NBJMC04203","NHCFC00100","NHCFC00700","NHCFC01400","NHCFC02800","NHCFC04200","NHCFC05601","NHCFC05602","NHCFC05603"
"Cordyceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023202e-06,9.338899e-08,1.378731e-06,0,3.068184e-07,0,0,0,4.040982e-05,1.413308e-07,6.034989e-07,6.309601e-07,1.558206e-05,5.670289e-06,6.061981e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",7.183664e-05,6.12442e-05,0.0002932204,6.147029e-05,8.151591e-05,5.513946e-05,5.472254e-05,9.088083e-05,8.137629e-05,0.0001318658,0.0001201836,0.0002533839,0.0001179506,0.0001111513,0.001326799,0.000547921,0.0003448482,0.0002607191,0.001896802,0.002145149,0.0002024725,0.0003081298,0.0005729745,0.000150683,0.0001402411,0.0008713084,9.107782e-05,0.0002694244,0.0003158541,9.881664e-05,0.0001205096,0.0003430364,0.0001277798,0.0002390096,0.0001238717,0.0004433054,0.0001609068,0.000249421,0.0001047268,0.0003262213,0.0001530397,5.247255e-05,4.136857e-05,0.0002519642,8.591923e-05,6.33117e-05,9.801874e-05,6.497546e-05,0.003706604,0.0001247506,8.327831e-05,0.000154635,0.0001792393,0.0001911429,0.0002304148,2.339842e-05,0.0004975274,0.0001655453,8.162443e-05,4.927263e-05,8.264306e-05,4.551764e-05,6.629073e-05,8.33552e-05,0.0001510362,0.0001439634,9.506425e-05,0.0002167156,0.0002689665,7.646243e-05,7.646555e-05,6.737288e-05,0.0001406908,8.390997e-05,3.65467e-05,9.589402e-05,9.706154e-05,8.467873e-05,7.454892e-05,0.0001487892,0.0001128327,0.0001107816,0.0001117804,0.000194301,4.229297e-05,3.038635e-05,0.0002579422,6.777178e-05,6.169226e-05,5.565503e-05,5.079332e-05,0.0001691048,9.10278e-05,8.864314e-05,0.0001108706,0.0004224445,0.000139365,0.0001858518,0.0002584936
"Cosmospora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coxiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cronobacter",2.171228e-05,5.85353e-07,1.368597e-06,5.11317e-07,0,6.653386e-08,3.414568e-06,4.658288e-06,3.517956e-07,7.666488e-07,3.566963e-07,0,2.194123e-07,4.237719e-08,2.455844e-07,1.01188e-07,2.31575e-07,8.997225e-08,1.632271e-08,0,1.994542e-07,2.327266e-07,0,2.351562e-07,2.085399e-06,8.206744e-08,0,0,0,1.766922e-07,0,7.194772e-08,9.8045e-07,4.884168e-07,0,0,0,0,0,0,0,2.292472e-06,5.608739e-06,1.146893e-06,3.06058e-07,1.299909e-07,1.860255e-05,4.776924e-07,4.302081e-06,1.516726e-06,2.994375e-06,0,0,0,0,1.166538e-06,1.135639e-07,0,2.615405e-06,0,2.161397e-07,5.848379e-07,2.045106e-06,5.287311e-07,3.745896e-07,1.95551e-07,1.651946e-06,3.350249e-08,0,1.707942e-06,1.351732e-06,2.499427e-06,2.758069e-06,0,0,5.691857e-07,1.045939e-06,2.565753e-06,2.859259e-07,1.352396e-07,7.503125e-07,0,2.5473e-07,6.572194e-05,3.655019e-05,4.16395e-06,4.982762e-07,9.845562e-07,0,1.520856e-05,1.362319e-07,0.0001237694,1.475916e-05,5.641538e-07,1.44872e-06,9.588702e-08,4.207859e-07,3.00923e-08,1.305729e-07
"Cryobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718183e-08,2.046761e-08,0,0,1.442098e-07,9.546803e-08,9.056647e-08,2.495897e-07,2.123205e-07,0,0,6.914221e-08,0,0,0,0,0,0,0,1.501689e-08,0,2.027257e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.631167e-07,0,2.463803e-08,0,0,0,0,0,0,0,0,0,0,0,5.757081e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.088e-08,0,0,0,0
"Cryocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptobacterium",4.573732e-07,1.536551e-06,6.171874e-06,3.330237e-06,1.086317e-06,3.948954e-06,1.046069e-06,8.513158e-07,2.019258e-06,2.240972e-06,4.728247e-05,0.0001502047,6.101192e-05,1.427881e-05,0.0001217549,9.213412e-05,0.0003955438,0.0002191672,0.000157121,2.258945e-05,6.249112e-05,6.261356e-05,0.0002242147,4.428387e-05,0.0001912879,7.315897e-05,0.0002410135,0.0002127686,0.0002055155,3.990755e-06,1.405306e-06,5.221129e-06,1.577564e-06,7.152533e-06,4.297165e-06,3.578711e-06,6.357472e-06,2.409887e-06,6.031998e-06,1.676215e-06,5.328886e-06,2.970618e-07,2.113546e-06,3.558112e-06,2.202698e-05,1.518128e-05,3.926334e-06,9.572565e-07,4.017851e-08,1.015904e-05,4.085674e-06,3.250406e-06,6.210979e-05,1.357925e-06,0.0002950176,1.807153e-06,1.809983e-06,2.959678e-06,7.684742e-06,3.63182e-06,4.058423e-06,3.173568e-06,2.761555e-06,4.605084e-06,1.633187e-06,1.644524e-06,1.550598e-05,3.292157e-06,5.645162e-06,1.458917e-06,4.846498e-06,2.97214e-06,1.681556e-05,5.111257e-06,4.634869e-06,2.233293e-06,1.284643e-06,1.496673e-06,8.266334e-07,2.424651e-05,1.323569e-05,1.277885e-05,4.08211e-06,1.023971e-07,9.322023e-07,7.774539e-06,2.35497e-06,4.671363e-06,4.608102e-06,1.105882e-05,2.855062e-06,6.436359e-08,1.122319e-06,3.948286e-06,1.022046e-06,7.585162e-05,0.0001029013,0.0001124146,0.0002704094
"Cupriavidus",0,1.174569e-06,1.600536e-06,1.405388e-06,2.203618e-06,2.436404e-06,2.383705e-06,6.783899e-08,9.111646e-08,3.773363e-07,1.54426e-07,2.264408e-07,1.334923e-07,6.281608e-08,7.88962e-07,5.114949e-07,9.914005e-07,6.831422e-07,3.159243e-06,1.157849e-06,4.69769e-08,3.098102e-07,1.471882e-07,0,1.098493e-06,4.436173e-07,1.893867e-07,1.996499e-07,6.49003e-08,6.763137e-07,1.101658e-06,1.567428e-07,2.588237e-07,1.005316e-06,6.578252e-07,1.897877e-06,1.097721e-06,5.738059e-07,1.250994e-06,6.282928e-06,1.607178e-07,1.051605e-06,8.557175e-07,6.574137e-06,6.821189e-07,1.299212e-05,3.466055e-07,6.687226e-07,5.35692e-07,5.321161e-08,1.187581e-07,2.46037e-07,8.76623e-08,3.613258e-08,3.376489e-08,0,1.804005e-07,9.04628e-06,1.260098e-06,6.303904e-06,3.78349e-06,3.53774e-06,3.489981e-07,1.581376e-07,3.458727e-07,2.353621e-07,1.075591e-07,1.023541e-07,8.461441e-08,2.187795e-06,7.241295e-07,3.465791e-05,7.69033e-06,1.747242e-06,1.489271e-06,5.08907e-07,4.415638e-08,1.826095e-06,5.234654e-07,1.789958e-08,4.315877e-08,0,2.283141e-07,1.686342e-06,5.918841e-08,1.853919e-07,1.172835e-05,4.940883e-06,5.355257e-06,5.558903e-06,1.522662e-05,0,9.695647e-08,3.285702e-07,5.175034e-07,1.038711e-07,0,0,8.651385e-08
