"","CBJMR00700","CBJMR01400","CBJMR02800","CBJMR04200","CBJMR04201","CBJMR04202","CBJMR04203","CHCFR00700","CHCFR01400","CHCFR02800","CHCFR04200","CHCFR05601","CHCFR05602","CHCFR05603","DGYFR06201","DGYFR06202","DGYFR06203","DGYMR06201","DGYMR06202","DGYMR06203","DHCFR07801","DHCFR07802","DHCFR07803","DHCMR07801","DHCMR07802","DHCMR07803","DHKFR23501","DHKFR23502","DHKFR23503","DSLFR04101","DSLFR04102","DSLFR04103","DSLMR04101","DSLMR04102","DSLMR04103","DSTFR04001","DSTFR04002","DSTFR04003","DSTMR04001","DSTMR04002","DSTMR04003","HBJMR00700","HBJMR01400","HBJMR02800","HBJMR04200","HBJMR04201","HBJMR04202","HBJMR04203","HHCFR00700","HHCFR01400","HHCFR02800","HHCFR04200","HHCFR05601","HHCFR05602","HHCFR05603","LBJMR00700","LBJMR01400","LBJMR02800","LBJMR04200","LBJMR04201","LBJMR04202","LBJMR04203","LHCFR00700","LHCFR01400","LHCFR02800","LHCFR04200","LHCFR05601","LHCFR05602","LHCFR05603","MBJMR00700","MBJMR01400","MBJMR02800","MBJMR04200","MBJMR04201","MBJMR04202","MBJMR04203","MHCFR00700","MHCFR01400","MHCFR02800","MHCFR04200","MHCFR05601","MHCFR05602","MHCFR05603","NBJMR00100","NBJMR00700","NBJMR01400","NBJMR02800","NBJMR04200","NBJMR04201","NBJMR04202","NBJMR04203","NHCFR00100","NHCFR00700","NHCFR01400","NHCFR02800","NHCFR04200","NHCFR05601","NHCFR05602","NHCFR05603"
"Acidipropionibacterium",0,8.976962e-07,1.089493e-05,2.676486e-07,3.544491e-06,7.236032e-08,0,0,0,7.393363e-08,4.276982e-06,2.692573e-07,5.901087e-06,1.860667e-06,3.296977e-06,1.186474e-06,9.638178e-06,7.583609e-06,0,3.350183e-06,9.139167e-07,4.062659e-06,1.712132e-06,4.055402e-07,0,1.331577e-05,9.20532e-07,1.050798e-05,7.635745e-07,1.366917e-07,1.836114e-06,1.734329e-07,3.818925e-07,5.256047e-07,3.540647e-07,4.433955e-07,1.940436e-06,1.861131e-06,0,4.150214e-07,9.231986e-08,0,0,3.717574e-07,5.195663e-06,1.684364e-06,1.691905e-06,3.436474e-07,2.64383e-07,0,6.95562e-08,1.167659e-07,5.942457e-06,1.901273e-06,2.600975e-06,0,0,3.859984e-06,2.782555e-06,1.851247e-06,4.598136e-07,2.316571e-07,2.776407e-07,0,0,1.704945e-06,6.806849e-06,3.217461e-06,1.429051e-06,0,0,4.81723e-07,1.074432e-06,0,3.394817e-07,1.785155e-06,0,0,0,2.860989e-06,1.957595e-06,7.496809e-07,2.394446e-06,0,0,0,2.353147e-07,2.370098e-06,3.215211e-07,3.0823e-06,1.314698e-06,0,6.071233e-08,1.776502e-07,3.762081e-06,2.759716e-06,1.933975e-06,1.571921e-06,2.934171e-07
"Acidisphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3489e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87765e-07,0,0,0,2.383822e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.060569e-07,0,0,1.76637e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.053662e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.984897e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidocella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.587361e-08,0,0,0,0,0,0,0,0,0,5.552112e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0125e-08,0,0,0,0,0,0,0,0,0,0
"Acidomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.432974e-08,0,2.053302e-07,0,0,0,0,0,0,0,0,1.054347e-07,0,0,6.760903e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158975e-07,0,0,0,0,0,0,0,0,0
"Acidothermus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327573e-07,0,5.676957e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786271e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax",0,0,0,3.669491e-07,2.564489e-07,5.662982e-08,5.670212e-07,1.71939e-06,2.166712e-07,1.622795e-07,1.36579e-07,1.922632e-07,1.308939e-06,2.144891e-07,3.973554e-07,7.921247e-06,8.345489e-05,1.436977e-07,9.701701e-08,3.189149e-06,3.196521e-07,4.709829e-06,1.674126e-06,5.576432e-07,9.791026e-08,4.357936e-07,1.490348e-07,5.803173e-08,3.604196e-05,1.193524e-06,6.951866e-06,1.132742e-06,8.894845e-07,1.198741e-06,1.357869e-06,4.194015e-08,1.859024e-08,3.073848e-07,2.781947e-07,0,0,0,2.517874e-06,3.581032e-07,0,6.222492e-07,7.159256e-06,1.961841e-06,1.601214e-07,9.129807e-08,5.027751e-07,2.843045e-07,3.083991e-07,4.357707e-06,9.189635e-06,0,1.376223e-07,2.108975e-07,3.846993e-07,2.142681e-07,2.592875e-06,9.880118e-05,1.510019e-06,8.342231e-08,4.20653e-07,2.204076e-07,0,0,3.859537e-08,0,0,3.087571e-07,5.709677e-07,5.193608e-07,3.162632e-06,3.551411e-07,8.214911e-07,1.670231e-07,2.951622e-07,1.188562e-07,2.016283e-06,3.388851e-06,6.64469e-06,0,1.269352e-07,0,0,2.050229e-07,3.093381e-06,2.945451e-05,0,5.552327e-06,3.635944e-06,7.03331e-07,1.474579e-07,2.10083e-07,3.198899e-07,1.378738e-06,7.317656e-06
"Acinetobacter",0.000107438,1.005604e-05,9.648921e-06,0.0001221748,3.5279e-06,2.100609e-06,1.74217e-05,1.214918e-05,2.447235e-06,8.301419e-05,2.787164e-06,5.778897e-05,1.709111e-05,0.0002046818,1.097936e-05,4.698497e-05,0.0002606597,4.976454e-06,4.215641e-06,0.0001100947,1.282159e-05,4.813727e-05,4.902436e-06,0.000221131,1.188427e-05,8.50091e-05,9.86276e-06,3.906946e-05,3.444017e-05,5.32759e-05,2.523587e-05,1.005659e-05,0.0001004782,7.222793e-05,1.051886e-05,4.493361e-05,3.003804e-05,4.356296e-05,0.0001309878,2.535941e-06,0.0002462578,1.196152e-05,0.0001830958,0.000113606,3.939214e-05,0.0002947771,5.120179e-05,8.076298e-05,5.903066e-06,3.623724e-06,4.507919e-05,7.539108e-06,9.464966e-06,5.368987e-06,3.65267e-05,1.808082e-05,3.843411e-05,8.728443e-06,5.319469e-05,5.819272e-06,0.0001721287,0.000138769,3.165115e-05,4.863296e-06,4.506652e-05,5.746085e-06,7.853365e-06,1.854997e-05,1.218985e-05,4.237927e-05,5.419534e-05,4.078836e-05,1.33737e-05,1.545965e-05,0.0009111008,2.103549e-05,5.584052e-06,2.746816e-06,7.941133e-05,6.203571e-06,0.0002793479,2.894885e-06,1.376517e-05,0.0001617717,6.821848e-05,3.314119e-05,8.068195e-06,2.174793e-05,0.0001452645,0.0001144525,4.553766e-06,0.0001399493,1.475468e-05,5.064092e-06,3.845352e-05,3.204331e-06,1.397081e-05,1.700115e-05,1.302362e-05
"Acremonium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.982855e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
