"","CBJMI00700","CBJMI01400","CBJMI02800","CBJMI04200","CBJMI04201","CBJMI04202","CBJMI04203","CHCFI00700","CHCFI01400","CHCFI02800","CHCFI04200","CHCFI05601","CHCFI05602","CHCFI05603","DGYFI06201","DGYFI06202","DGYFI06203","DGYMI06201","DGYMI06202","DGYMI06203","DHCFI07801","DHCFI07802","DHCFI07803","DHCMI07801","DHCMI07802","DHCMI07803","DHKFI23501","DHKFI23502","DHKFI23503","DSLFI04101","DSLFI04102","DSLFI04103","DSLMI04101","DSLMI04102","DSLMI04103","DSTFI04001","DSTFI04002","DSTFI04003","DSTMI04001","DSTMI04002","DSTMI04003","HBJMI00700","HBJMI01400","HBJMI02800","HBJMI04200","HBJMI04201","HBJMI04202","HBJMI04203","HHCFI00700","HHCFI01400","HHCFI02800","HHCFI04200","HHCFI05601","HHCFI05602","HHCFI05603","LBJMI00700","LBJMI01400","LBJMI02800","LBJMI04200","LBJMI04201","LBJMI04202","LBJMI04203","LHCFI00700","LHCFI01400","LHCFI02800","LHCFI04200","LHCFI05601","LHCFI05602","LHCFI05603","MBJMI00700","MBJMI01400","MBJMI02800","MBJMI04200","MBJMI04201","MBJMI04202","MBJMI04203","MHCFI00700","MHCFI01400","MHCFI02800","MHCFI04200","MHCFI05601","MHCFI05602","MHCFI05603","NBJMI00100","NBJMI00700","NBJMI01400","NBJMI02800","NBJMI04200","NBJMI04201","NBJMI04202","NBJMI04203","NHCFI00100","NHCFI00700","NHCFI01400","NHCFI02800","NHCFI04200","NHCFI05601","NHCFI05602","NHCFI05603"
"Saccharopolyspora",5.755556e-06,3.366787e-06,0.0001060523,6.578221e-05,4.277505e-05,0.0001176185,1.328032e-05,1.055609e-05,1.553972e-05,1.370374e-05,7.382229e-06,2.673685e-05,1.20183e-05,9.66374e-06,2.819161e-05,0.0001010882,4.635063e-05,0.0001169432,8.807481e-05,0.0001467398,3.179132e-05,5.445715e-05,6.923501e-05,1.507169e-05,3.073217e-05,1.191477e-05,6.391424e-06,3.973069e-06,3.747004e-06,1.125019e-06,2.265379e-06,9.961056e-06,9.716727e-06,4.108171e-06,3.679909e-06,3.977967e-06,4.980984e-06,5.272852e-06,1.61198e-05,4.534624e-06,2.280982e-06,4.932677e-05,1.039615e-05,9.115953e-05,3.859748e-06,4.353742e-05,4.862346e-05,0.0001441604,8.541037e-05,3.266274e-05,1.545466e-05,3.539529e-06,2.162315e-05,7.702317e-06,3.852217e-06,2.740493e-06,1.817047e-06,0.0001343535,8.392346e-05,4.460974e-05,0.0002116091,0.0002422437,3.3342e-05,2.010155e-05,2.837444e-05,6.464493e-05,1.989923e-05,1.860894e-05,2.799679e-05,5.100763e-06,1.322297e-06,0.000105281,6.524308e-05,6.672928e-05,4.447565e-05,1.282779e-06,2.620705e-05,4.005737e-05,2.508839e-05,2.686829e-05,7.693609e-06,4.552701e-06,6.226171e-06,0,4.212199e-05,8.452004e-06,0.0001489051,6.368053e-05,0.0001804676,0.004729687,0.0001076678,7.840371e-06,2.105127e-05,1.823608e-05,2.693564e-05,1.286423e-05,4.128458e-06,1.941588e-05,4.124641e-05
"Saccharothrix",9.50817e-07,5.380878e-07,1.962193e-05,1.488634e-05,5.678459e-06,2.118963e-05,1.676359e-06,8.020478e-07,2.124926e-06,3.9556e-06,1.124883e-05,3.834196e-05,6.997629e-06,1.183969e-05,1.115643e-07,3.185637e-07,0,1.085755e-07,0,0,2.454039e-07,5.316981e-08,1.783477e-07,0,4.070173e-08,7.69155e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,7.893713e-09,0,0,0,1.233891e-07,0,0,0,5.747673e-08,3.089264e-06,1.091332e-06,1.366991e-06,1.247772e-08,1.472559e-07,1.033084e-08,0,0,2.295793e-08,0,1.203666e-07,0,0,0,4.729723e-07,9.206753e-07,5.866521e-07,8.832293e-07,2.373327e-07,4.416093e-07,2.143288e-07,0,0,1.916943e-07,0,4.032e-08,0,0,6.006197e-07,1.170222e-06,2.507936e-06,6.933575e-07,4.781115e-08,1.192658e-07,1.031287e-07,0,0,0,1.222452e-06,2.276376e-06,1.519321e-07,7.720345e-07,4.735812e-07,1.72974e-06,5.574175e-06,1.384352e-06,9.003323e-07,6.537435e-08,8.795057e-08,2.561397e-07,1.117118e-06
"Salimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.783534e-08,0,2.620385e-08,0,1.114592e-07,0,1.043056e-07,0,8.106605e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinicoccus",0,1.003906e-06,0,0,0,6.916205e-07,1.664024e-07,0,4.738851e-07,2.635564e-06,2.719728e-07,1.830715e-07,7.223446e-07,2.569159e-07,6.174782e-05,9.963903e-05,1.018245e-05,6.641324e-05,5.076501e-05,8.324678e-06,0.000666886,0.001762461,0.0007898201,0.0001346305,0.002684109,0.003366797,6.192693e-05,6.32858e-05,2.224822e-06,1.461511e-07,1.005379e-06,4.189895e-07,4.709718e-06,6.257831e-07,1.289908e-07,2.068336e-07,3.642574e-06,1.687952e-07,2.260329e-06,9.453739e-08,2.511427e-07,0,2.326193e-06,2.781469e-06,7.569251e-08,2.108445e-07,1.209228e-05,3.318936e-06,1.271153e-06,3.510282e-07,4.110789e-06,1.499388e-07,3.757865e-06,9.022013e-06,4.922037e-06,0,8.315395e-06,5.161821e-06,4.879567e-06,1.720639e-07,3.716067e-07,5.366517e-06,3.833246e-07,5.59951e-07,5.546253e-06,8.036295e-06,2.355386e-07,9.066137e-07,5.053413e-06,0,0,8.559768e-07,1.843732e-06,6.558345e-06,7.12429e-06,3.923093e-07,6.443891e-07,1.79519e-06,1.675209e-06,4.763731e-07,3.72647e-06,2.632446e-07,3.609834e-07,0,0,1.36431e-06,1.205534e-06,1.40946e-06,5.766986e-08,0,2.067244e-07,2.441536e-07,3.286237e-07,4.929275e-06,4.895022e-06,1.089458e-06,9.079066e-07,3.431343e-06,6.326726e-06
"Salinisphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salinispora",1.263083e-07,1.535035e-07,3.607116e-06,2.820496e-06,7.122393e-07,3.101841e-06,6.672115e-07,8.294356e-08,3.732514e-07,1.305069e-06,2.673781e-06,4.433932e-06,1.29583e-06,1.947881e-06,7.022558e-07,4.107686e-06,3.168527e-07,1.143985e-06,2.892111e-07,8.676867e-07,2.193277e-06,1.901395e-06,1.541039e-06,3.849315e-08,4.996089e-07,6.353333e-07,3.372213e-08,0,9.663905e-08,1.263402e-06,1.173192e-06,3.689971e-06,2.868516e-07,3.84332e-07,0,1.139723e-08,7.417071e-08,0,0,0,0,0,0,0,0,0,0,8.845598e-08,4.17204e-07,2.694065e-07,8.820336e-07,3.493389e-07,5.177099e-08,4.664317e-08,0,0,0,6.315697e-07,1.36708e-08,0,0,0,2.587626e-07,1.01667e-06,1.752161e-07,7.24866e-08,6.606561e-08,2.128277e-07,9.817158e-08,0,0,1.425369e-08,0,0,0,0,1.302506e-07,1.790257e-07,5.349904e-07,2.126576e-07,6.311829e-07,7.592276e-07,9.85353e-07,0,0,0,3.026183e-07,5.406585e-07,4.326874e-08,4.670603e-08,8.325924e-08,1.995295e-07,6.955607e-07,5.721917e-07,6.163084e-07,3.218464e-08,2.025647e-07,8.917613e-07,2.428526e-06
"Salmonella",0.0004814407,2.485365e-05,0.0001152175,0.0002332456,3.798841e-07,2.573312e-06,0.0001569129,2.470369e-05,2.892858e-05,1.396728e-05,3.481392e-06,0.0001916482,2.947155e-05,6.038811e-06,8.323574e-05,0.0001444075,8.553235e-05,0.0002544804,0.0002077491,7.125442e-05,0.0002594799,0.0002471764,0.0002071638,3.024331e-05,0.0001589833,0.0002732041,8.383082e-07,7.556683e-06,1.751309e-06,1.790345e-06,1.757433e-06,1.754638e-06,0.0001460118,3.746174e-05,6.677311e-07,1.803458e-06,2.626022e-05,1.57083e-06,1.165337e-06,4.500859e-06,6.664829e-07,5.777388e-05,0.0002562531,7.373737e-05,1.939168e-05,4.31895e-06,7.645857e-06,6.118103e-06,0.0004454807,5.770075e-05,4.039642e-05,7.995425e-06,1.836089e-06,6.110016e-07,2.475343e-07,8.308656e-05,2.096685e-05,3.09928e-05,5.952503e-05,7.526868e-06,3.552146e-06,0.000100066,0.001997665,2.863127e-05,4.155388e-06,4.933793e-06,2.226968e-06,5.894177e-06,1.421924e-06,9.916574e-05,1.714121e-06,7.905511e-06,7.007691e-05,0.001643075,3.088413e-05,0.00476154,3.527313e-05,5.760037e-06,1.592701e-06,0.0002549959,4.40284e-06,4.086612e-06,3.733555e-06,0.0003082167,0.0002883179,0.0002828111,0.0002855293,3.059618e-05,0.0006602694,0.00146849,3.580014e-05,0.001073196,5.582693e-06,5.407943e-06,3.246473e-06,2.117337e-05,2.403526e-06,0.000335317,8.553137e-06
"Sanguibacter",2.180534e-06,2.743562e-06,2.570256e-05,2.230298e-05,7.165559e-06,2.063355e-05,4.724428e-06,3.292207e-06,1.342791e-06,5.682089e-06,6.504379e-06,3.577415e-06,5.021193e-06,1.597819e-06,1.068905e-06,4.22738e-06,3.819601e-06,1.117675e-06,1.930684e-06,8.547913e-07,6.079209e-07,2.263755e-06,3.462385e-05,7.83719e-07,2.430681e-06,1.344942e-06,5.195187e-07,7.361482e-07,7.707808e-08,0,3.395267e-08,7.159231e-08,3.092414e-07,3.379774e-07,5.05665e-08,9.747313e-07,9.566924e-06,9.269014e-07,1.960708e-06,4.483335e-07,4.097662e-07,6.580835e-05,6.285059e-06,2.155006e-05,1.034679e-06,5.006507e-06,6.233493e-06,2.320079e-05,2.335267e-05,6.109183e-06,3.949917e-06,7.841131e-07,3.356127e-06,1.679586e-06,1.574099e-06,9.470064e-06,1.294315e-06,2.257443e-05,5.955265e-05,4.426856e-06,0.0001506584,2.539524e-05,8.303475e-06,6.358194e-06,4.098837e-06,1.712475e-05,2.100683e-06,1.227972e-06,1.259121e-06,4.167932e-07,0,1.775138e-05,3.121541e-05,2.181343e-05,1.004202e-05,8.063275e-08,1.040268e-05,1.981003e-05,3.830998e-06,6.82732e-06,1.405592e-07,1.014474e-06,2.258174e-07,0,2.560262e-05,3.730046e-06,5.825312e-05,1.254391e-05,1.826968e-05,7.748904e-05,3.188446e-05,1.332498e-05,7.287904e-06,2.20388e-05,4.476675e-06,1.481131e-06,7.100251e-07,1.754054e-06,1.052724e-05
"Sanguibacteroides",0,3.786609e-06,0,0,0,0,0,0,0,9.200346e-06,7.436322e-08,0,0,0,0,0,5.836464e-07,0,0,0,0,0,0,0,0,0,4.930081e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.286577e-07,0,0,0,0,0,5.993785e-07,0,5.925094e-08,0,0,7.296788e-07,0,0,0,0,4.894702e-08,0,0,0,0,0,6.312844e-08,1.89684e-07,0,0,0,0,9.369971e-08,0,0,1.19186e-07,6.118142e-07,0,0,3.299464e-06,0,0,0,3.256419e-07,0,0,0,0,1.288493e-06,0,0,0,1.148258e-07
"Sarocladium",0,0,3.531919e-07,4.756832e-07,2.160099e-07,6.163174e-07,0,0,2.631354e-08,0,0,9.695515e-09,0,0,0,0,0,0,0,0,0,0,0,6.315486e-08,0,4.714695e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.240712e-06,0,4.059278e-07,0,0,0,1.295916e-07,0,0,0,0,0,0,0,0,0,2.369683e-07,4.149987e-07,0,2.474227e-06,1.395357e-06,0,0,0,0,0,0,0,0,0,1.488327e-07,0,2.083459e-07,1.117643e-07,0,7.902318e-08,0,0,6.415247e-08,0,0,0,0,0,0,2.131683e-06,4.596818e-07,5.777644e-07,5.017003e-06,1.70682e-06,0,0,0,0,0,0,0,0
